"编号","模块","TC描述","前置条件","测试步骤","预期结果","优先级","测试状态","关联测试文件","","","","","","","","","","",""
"096","文档预处理-项目管理","项目列表和统计指标按当前数据正确展示","当前租户已有不同处理状态的项目和文档","1.进入项目工作区
2.检查项目卡片、项目总数、文档总数、知识节点总数、处理中项目和已同步项目","列表与接口返回一致；各统计值由项目及当前文档状态正确汇总；空列表显示空状态","P0","通过","DocumentPreprocessingV2Panels.tsx ProjectPanel / test_doctalk_publication.py","","","","","","","","","","",""
"097","文档预处理-项目管理","新建项目的输入校验、创建和默认选中","已进入项目工作区","1.点击新建项目并提交空名称
2.输入合法名称再次提交","空名称不发请求并提示项目名称不能为空；创建成功后刷新项目列表并自动选中新项目","P0","通过","待新增：DocumentPreprocessingV2Page.createCorpus 用例","","","","","","","","","","",""
"098","文档预处理-项目管理","按项目名称进行前端搜索过滤","当前租户至少有三个名称不同的项目","1.在搜索框输入部分项目名
2.清空搜索条件","仅展示名称包含关键词的项目；清空后恢复完整列表；搜索过程不产生额外后端轮询","P2","通过","待新增：ProjectPanel 搜索用例","","","","","","","","","","",""
"099","文档预处理-项目选择","进入项目及跨工作区切换时保持当前项目上下文","当前租户已有项目A和项目B","1.从项目A点击进入项目
2.切换上传、问答、泛化、同步工作区
3.切换为项目B","进入项目后跳转上传解析；工作区切换保持项目A；切换项目B后清空旧会话、消息和泛化选择，并按B重新加载当前工作区数据","P0","通过","待新增：DocumentPreprocessingV2Page 项目上下文用例","","","","","","","","","","",""
"100","文档预处理-多租户隔离","项目、文档和处理任务在租户之间完全隔离","租户A和租户B均可使用文档预处理","1.在租户A创建项目并上传文档
2.切换到租户B查看列表
3.在租户B使用A的项目、文档或任务ID直接查询","租户B列表不含A的数据；直接使用A的资源ID返回 404/无权限；后台任务仍使用创建任务时的租户上下文","P0","通过","backend/tests/test_tenant_isolation.py（ORM与后台 tenant_scope）","","","","","","","","","","",""
"101","文档预处理-上传解析","上传支持的 PDF、Word、PPT、WPS 文件并进入解析队列","已选择项目；准备 .pdf/.doc/.docx/.ppt/.pptx/.wps 文件","1.选择各类型文件
2.点击上传并解析
3.手动刷新文档列表","前端允许选择支持类型；每份文件创建独立文档并进入 uploaded/parsing 队列；上传成功后清空已接收文件","P0","通过","DocumentPreprocessingV2Panels.tsx UploadPanel / documents.py","","","","","","","","","","",""
"102","文档预处理-上传解析","多文件逐份串行上传及部分失败重试","已选择项目；准备多份文件，其中一份模拟上传失败","1.一次选择多份文件并上传
2.观察请求顺序和失败后的文件列表
3.点击重试","每份文件使用独立 multipart 请求且串行提交；失败前已接收文件不会因重试重复创建；界面仅保留未接收文件供重试","P0","通过","DocumentPreprocessingV2Page.uploadAndParse","","","","","","","","","","",""
"103","文档预处理-文件名兼容","超长中文文件名在对象存储和向量索引中安全落库","准备两个前缀相同但尾部不同的超长中文文件名","1.分别上传并完成解析
2.同步向量库
3.按文件名和内容查询","上传和同步不出现 data too long；UTF-8 名称按字节安全截断并带稳定摘要；两个文件索引名称不冲突且均可查询","P0","通过","backend/tests/test_vector_store.py","","","","","","","","","","",""
"105","文档预处理-问答会话","新建、列表、恢复和删除问答会话","已选择含已发布文档的项目","1.新建会话并提问
2.切换到其他会话再切回
3.刷新页面
4.删除会话并确认","消息按会话持久化并可恢复；切换不会串消息；删除前二次确认，确认后会话及消息删除且选择剩余会话","P0","通过","DocumentPreprocessingV2Page / qa.py conversations endpoints","","","","","","","","","","",""
"106","文档预处理-流式问答","SSE 问答按 meta、thinking、answer_start、answer、done 事件增量渲染","已选择项目并创建会话","1.提交问题
2.观察思考过程和回答增量
3.模拟 error 事件或网络中断","用户问题立即出现；思考过程可折叠；回答逐段追加；done 后补齐 agent 和 citations 并结束 loading；失败时当前消息展示具体错误且页面可继续提问","P0","通过","DocumentPreprocessingProxyController.proxyStream / DocumentPreprocessingV2Page.ask","","","","","","","","","","",""
"107","文档预处理-问题改写","效果调优问题改写成功和不可用时均可继续问答","准备可用和故障的 rewriteQuestion 服务","1.分别提交同一问题
2.检查发往文档问答的 original_question 与 rewritten_question","改写成功时使用改写问题检索并保留原问题；服务失败时使用原问题作为 rewritten_question，问答链路不中断","P1","通过","DocumentPreprocessingV2Page.ask","","","","","","","","","","",""
"108","文档预处理-问答隔离","会话、消息、问答结果和引用按租户隔离","租户A、B分别建立项目和会话","1.在租户A提问并记录 conversation_id/request_id
2.切换租户B查询A的会话或继续提问","租户B无法读取或续写A的会话；结果和引用只来自B当前项目；跨租户ID返回 404/无权限","P0","通过","tenant-aware ORM / qa.py","","","","","","","","","","",""
"109","文档预处理-回答反馈","负向反馈提交后由后台调优 Agent 生成术语、规则和示例","已完成一条问答；效果调优服务可用","1.点击回答反馈并填写意见
2.提交
3.等待后台状态 ready
4.检查效果调优数据","反馈立即持久化并标记已提交；仅反馈任务运行期间查询状态，最长2分钟后停止；ready 后写入当前租户术语/改写规则/示例；failed/超时给出明确提示","P0","通过","DocumentPreprocessingV2Page.submitFeedback / qa.py feedback agent","","","","","","","","","","",""
"110","文档预处理-泛化参数","泛化问题数量仅接受 1 至 20 的整数","已选择项目并进入泛化测试工作区","1.分别输入空值、0、21、小数和合法整数
2.点击生成问题","非法输入仅提示“请输入1～20的整数”且不发请求；合法值按指定数量提交生成任务","P1","通过","DocumentPreprocessingV2Page.generate","","","","","","","","","","",""
"111","文档预处理-泛化生成","基于当前项目异步生成代表性问题并通过手动刷新查看结果","项目有已发布文档且 LLM 可用","1.点击生成问题
2.离开页面再返回
3.点击刷新状态","创建 generating 任务后页面不持续轮询；重新进入或手动刷新可看到 completed/failed 终态及问题列表；失败展示 error_msg","P0","通过","test_generalization_generation.py / qa.py generalization background task","","","","","","","","","","",""
"112","文档预处理-泛化调整","按调整要求从已有测试集生成新版本且保留历史结果","已有一条包含问题和测试结果的泛化任务","1.输入调整方向
2.提交并生成新用例
3.查看新旧任务","请求携带 instruction 和 source_run_id；新任务独立创建并记录生成方式；原测试集和结果不被覆盖，可在历史任务中查看","P1","通过","test_generalization_generation.py.test_instruction_and_previous_questions_are_added_to_generation_prompt","","","","","","","","","","",""
"113","文档预处理-泛化测试","运行泛化测试并展示完成数、通过率、失败数和单题回答","已生成包含问题的测试集","1.点击开始测试
2.任务完成后手动刷新
3.打开单题回答详情","任务状态从 queued/running 到 completed/failed；指标按 cases 结果正确计算；每题可查看回答、评分/错误；运行中禁止重复提交","P0","通过","GeneralizationPanel / qa.py generalization run endpoints","","","","","","","","","","",""
"114","文档预处理-泛化隔离","泛化任务、问题集和测试结果按租户及项目隔离","租户A创建泛化任务；租户B有另一项目","1.切换到租户B查看任务列表
2.用A的 run_id 查询或启动测试","B列表不含A任务；跨租户 run_id 返回 404/无权限；后台任务始终在创建任务的租户上下文运行","P0","通过","qa.py run_in_tenant / tenant-aware ORM","","","","","","","","","","",""
"115","文档预处理-CA同步","CA 内容库和结构库配置校验及同步","已选择含已发布文档的项目","1.配置缺少域名、任一知识库ID或凭证并尝试同步
2.补全配置后分别发起内容库和结构库同步","配置不完整时按钮不可用或提示补全；完整后同步使用同一 publication 快照，内容库包含正文/节点/元数据，结构库包含层级/关系；结果在本次会话任务列表展示","P0","通过","test_doctalk_publication.py.test_ca_payload_uses_same_publication_snapshot / SyncPanel","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
